,Id,SalePrice,SalePrice_log,MSSubClass,LotFrontage,LotArea,OverallQual,YearBuilt,MasVnrArea,ExterQual,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,GarageType,GarageFinish,GarageArea,GarageQual,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,TotalSF,Age,TotPorchSF,TotBaths,TotCarGarage,Has2ndFl,HasPorch,HasDeck,HasPool,HasFirePlace,HasGasHeating,HasExBsmtQual,HasIrregularLotShape,HasLandSlope,FoundationType,HasStoneMas,NeighborhoodType
30,31,40000,10.59663473,70,50,8500,4,1920,0,TA,0,649,649,649,668,1317,0,0,1,0,1,TA,6,Detchd,Unf,250,TA,0,54,172,0,0,1966,3958,226,1,0,1,1,0,0,1,1,0,0,1,0,0,0
31,32,149350,11.91404782,20,70.04995837,8544,5,1966,0,TA,0,1228,1228,1228,0,1228,0,0,1,1,1,Gd,6,Attchd,Unf,271,TA,0,65,0,0,0,2456,4014,65,1.5,0,0,1,0,0,1,1,0,1,1,1,0,1
32,33,179900,12.10015642,20,85,11049,8,2007,0,Gd,0,1234,1234,1234,0,1234,0,0,2,0,1,Gd,7,Attchd,RFn,484,TA,0,30,0,0,0,2468,4015,30,2,0,0,1,0,0,1,1,1,0,1,2,0,1
33,34,165500,12.01672647,20,70,10552,5,1959,0,TA,1018,380,1398,1700,0,1700,0,1,1,1,1,Gd,6,Attchd,RFn,447,TA,0,38,0,0,0,3098,3969,38,2,0,0,1,0,0,1,1,0,1,1,1,0,1
34,35,277500,12.53357621,120,60,7313,9,2005,246,Ex,1153,408,1561,1561,0,1561,1,0,2,0,1,Ex,6,Attchd,Fin,556,TA,203,47,0,0,0,3122,4012,47,3,0,0,1,1,0,1,1,1,0,1,2,0,2
35,36,309000,12.64109656,60,108,13418,8,2004,132,Gd,0,1117,1117,1132,1320,2452,0,0,3,1,1,Gd,9,BuiltIn,Fin,691,TA,113,32,0,0,0,3569,4011,32,3.5,3,1,1,1,0,1,1,1,0,1,2,1,2
36,37,145000,11.88448902,20,112,10859,5,1994,0,TA,0,1097,1097,1097,0,1097,0,0,1,1,1,TA,6,Attchd,Unf,672,TA,392,64,0,0,0,2194,4004,64,1.5,0,0,1,1,0,1,1,0,0,1,2,0,1
37,38,153000,11.9381932,20,74,8532,5,1954,650,TA,1213,84,1297,1297,0,1297,0,1,1,0,1,TA,5,Attchd,Fin,498,TA,0,0,0,0,0,2594,3999,0,1.5,0,0,0,0,0,1,1,0,0,1,1,0,1
38,39,109000,11.59910316,20,68,7922,5,1953,0,TA,731,326,1057,1057,0,1057,1,0,1,0,1,Gd,5,Detchd,Unf,246,TA,0,52,0,0,0,2114,4017,52,2,0,0,1,0,0,1,1,0,0,1,1,0,1
39,40,82000,11.31447453,90,65,6040,4,1955,0,TA,0,0,0,1152,0,1152,0,0,2,0,2,Fa,6,None,None,0,None,0,0,0,0,0,1152,3963,0,2,0,0,0,0,0,1,1,0,0,1,2,0,1
40,41,160000,11.98292909,20,84,8658,6,1965,101,TA,643,445,1088,1324,0,1324,0,0,2,0,1,TA,6,Attchd,RFn,440,TA,0,138,0,0,0,2412,3971,138,2,0,0,1,0,0,1,1,0,0,1,1,0,1
41,42,170000,12.04355372,20,115,16905,5,1959,0,TA,967,383,1350,1328,0,1328,0,1,1,1,1,TA,5,Attchd,RFn,308,TA,0,104,0,0,0,2678,3966,104,2,0,0,1,0,0,1,1,0,0,1,1,0,1
42,43,144000,11.87756858,85,70.04995837,9180,5,1983,0,TA,747,0,840,884,0,884,1,0,1,0,1,Gd,5,Attchd,RFn,504,TA,240,0,0,0,0,1724,3990,0,2,0,0,0,1,0,1,1,0,1,1,1,0,1
43,44,130250,11.77721096,20,70.04995837,9200,5,1975,0,TA,280,167,938,938,0,938,1,0,1,0,1,TA,5,Detchd,Unf,308,TA,145,0,0,0,0,1876,3988,0,2,0,0,0,1,0,1,1,0,1,1,1,0,1
44,45,141000,11.85651517,20,70,7945,5,1959,0,TA,179,465,1150,1150,0,1150,1,0,1,0,1,TA,6,Attchd,RFn,300,TA,0,0,0,0,0,2300,3965,0,2,0,0,0,0,0,1,1,0,0,1,1,0,1
45,46,319900,12.67576373,120,61,7658,9,2005,412,Ex,456,1296,1752,1752,0,1752,1,0,2,0,1,Ex,6,Attchd,RFn,576,TA,196,82,0,0,0,3504,4015,82,3,0,0,1,1,0,1,1,1,0,1,2,0,2
46,47,239686,12.38708501,50,48,12822,7,2003,0,Gd,1351,83,1434,1518,631,2149,1,0,1,1,1,Gd,6,Attchd,RFn,670,TA,168,43,0,0,198,3583,4012,241,2.5,0,1,1,1,0,2,1,1,1,1,2,0,1
47,48,249700,12.42801548,20,84,11096,8,2006,0,Gd,24,1632,1656,1656,0,1656,0,0,2,0,1,Gd,7,Attchd,RFn,826,TA,0,146,0,0,0,3312,4013,146,2,3,0,1,0,0,1,1,0,0,1,2,0,1
48,49,113000,11.6351431,190,33,4456,4,1920,0,TA,0,736,736,736,716,1452,0,0,2,0,3,TA,8,None,None,0,None,0,0,102,0,0,2188,4017,102,2,0,1,1,0,0,1,1,0,0,1,0,0,1
49,50,127000,11.75194237,20,66,7742,5,1966,0,TA,763,192,955,955,0,955,1,0,1,0,1,TA,6,Attchd,Unf,386,TA,0,0,0,0,0,1910,3973,0,2,0,0,0,0,0,1,1,0,0,1,1,0,1
50,51,177000,12.08390501,60,70.04995837,13869,6,1997,0,TA,182,612,794,794,676,1470,0,1,2,0,1,TA,6,Attchd,Fin,388,TA,0,75,0,0,0,2264,4004,75,2.5,0,1,1,0,0,1,1,0,1,1,2,0,1
51,52,114500,11.6483301,50,52,6240,6,1934,0,TA,0,816,816,816,0,1176,0,0,1,0,1,TA,6,Detchd,Unf,528,TA,112,0,0,0,0,1992,3956,0,1,0,0,0,1,0,1,1,0,0,1,2,0,1
52,53,110000,11.60823564,90,110,8472,5,1963,0,Fa,104,0,816,816,0,816,1,0,1,0,1,TA,5,CarPort,Unf,516,TA,106,0,0,0,0,1632,3973,0,2,0,0,0,1,0,1,1,0,1,1,1,0,0
53,54,385000,12.86099861,20,68,50271,9,1981,0,Gd,1810,32,1842,1842,0,1842,2,0,0,1,1,Gd,5,Attchd,Fin,894,TA,857,72,0,0,0,3684,3993,72,2.5,3,0,1,1,0,1,1,1,1,1,1,0,1
54,55,130000,11.77528973,80,60,7134,5,1955,0,TA,384,0,384,1360,0,1360,0,0,1,0,1,TA,6,Detchd,Unf,572,TA,0,50,0,0,0,1744,3962,50,1,0,0,1,0,0,1,1,0,0,1,1,0,1
55,56,180500,12.10348606,20,100,10175,6,1964,272,TA,490,935,1425,1425,0,1425,0,0,2,0,1,TA,7,Attchd,RFn,576,TA,0,0,0,407,0,2850,3972,407,2,0,0,1,0,0,1,1,0,1,1,1,0,1
56,57,172500,12.05815252,160,24,2645,8,1999,456,Gd,649,321,970,983,756,1739,1,0,2,1,1,Gd,7,Attchd,Fin,480,TA,115,0,0,0,0,2709,4009,0,3.5,0,1,0,1,0,1,1,0,0,1,2,0,1
57,58,196500,12.18841771,60,89,11645,7,2004,0,Gd,0,860,860,860,860,1720,0,0,2,1,1,Gd,7,Attchd,RFn,565,TA,0,70,0,0,0,2580,4010,70,2.5,0,1,1,0,0,1,1,0,1,1,2,0,1
58,59,438780,12.99175343,60,66,13682,10,2006,1031,Ex,0,1410,1410,1426,1519,2945,0,0,3,1,1,Gd,10,BuiltIn,Fin,641,TA,192,0,37,0,0,4355,4012,37,3.5,3,1,1,1,0,1,1,1,1,1,2,0,2
59,60,124900,11.7352687,20,60,7200,5,1972,0,TA,632,148,780,780,0,780,0,0,1,0,1,TA,4,Detchd,Unf,352,TA,196,0,0,0,0,1560,3980,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1
60,61,158000,11.97035031,20,63,13072,6,2004,0,TA,941,217,1158,1158,0,1158,1,0,1,1,1,Gd,5,Detchd,Unf,576,TA,0,50,0,0,0,2316,4010,50,2.5,0,0,1,0,0,1,1,0,0,1,2,0,1
61,62,101000,11.5228758,75,60,7200,5,1920,0,TA,0,530,530,581,530,1111,0,0,1,0,1,Fa,6,Detchd,Unf,288,TA,0,0,144,0,0,1641,4003,144,1,0,1,1,0,0,1,1,0,0,1,0,0,0
62,63,202500,12.21849517,120,44,6442,8,2006,178,Gd,24,1346,1370,1370,0,1370,0,0,2,0,1,Gd,6,Attchd,RFn,484,TA,120,49,0,0,0,2740,4013,49,2,0,0,1,1,0,1,1,0,1,1,2,1,2
63,64,140000,11.8493977,70,50,10300,7,1921,0,TA,0,576,576,902,808,1710,0,0,2,0,1,TA,9,Detchd,Unf,480,TA,12,11,64,0,0,2286,3960,75,2,0,1,1,1,0,1,1,0,1,1,0,0,1
64,65,219500,12.29910751,60,70.04995837,9375,7,1997,573,TA,739,318,1057,1057,977,2034,1,0,2,1,1,Gd,8,Attchd,RFn,645,TA,576,36,0,0,0,3091,4007,36,3.5,0,1,1,1,0,1,1,0,0,1,2,0,1
65,66,317000,12.66665705,60,76,9591,8,2004,344,Gd,0,1143,1143,1143,1330,2473,0,0,2,1,1,Gd,9,BuiltIn,RFn,852,TA,192,151,0,0,0,3616,4012,151,2.5,3,1,1,1,0,1,1,1,0,1,2,0,2
66,67,180000,12.10071213,20,70.04995837,19900,7,1970,287,TA,912,1035,1947,2207,0,2207,1,0,2,0,1,TA,7,Attchd,RFn,576,TA,301,0,0,0,0,4154,3999,0,3,0,0,0,1,0,1,1,0,0,1,1,0,1
67,68,226000,12.32829028,20,72,10665,7,2003,167,Gd,1013,440,1453,1479,0,1479,1,0,2,0,1,Gd,7,Attchd,RFn,558,TA,144,29,0,0,0,2932,4010,29,3,0,0,1,1,0,1,1,0,1,1,2,0,1
68,69,80000,11.28978191,30,47,4608,4,1945,0,TA,0,747,747,747,0,747,0,0,1,0,1,TA,4,Attchd,Unf,220,TA,0,0,0,0,0,1494,3960,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1
69,70,225000,12.32385568,50,81,15593,7,1953,0,Gd,603,701,1304,1304,983,2287,0,0,2,0,1,TA,7,Attchd,Fin,667,TA,0,21,114,0,0,3591,3959,135,2,0,1,1,0,0,1,1,0,0,1,1,0,1
70,71,244000,12.4049235,20,95,13651,7,1973,1115,TA,1880,343,2223,2223,0,2223,1,0,2,0,1,TA,8,Attchd,Fin,516,TA,300,0,0,0,0,4446,3980,0,3,0,0,0,1,0,1,1,0,1,1,1,0,1
71,72,129500,11.77143616,20,69,7599,4,1982,0,TA,565,280,845,845,0,845,1,0,1,0,1,TA,4,Detchd,Unf,360,TA,0,0,0,0,0,1690,4013,0,2,0,0,0,0,0,1,1,0,0,1,1,0,1
72,73,185000,12.1281111,60,74,10141,7,1998,40,TA,0,832,832,885,833,1718,0,0,2,1,1,TA,7,Attchd,Fin,427,TA,0,94,0,0,291,2550,4007,385,2.5,0,1,1,0,0,1,1,0,1,1,2,0,1
73,74,144900,11.88379913,20,85,10200,5,1954,104,TA,320,404,1086,1086,0,1086,1,0,1,0,1,TA,6,Attchd,Unf,490,TA,0,0,0,0,0,2172,4013,0,2,0,0,0,0,0,1,1,0,0,1,1,0,1
74,75,107400,11.58431546,50,60,5790,3,1915,0,Gd,0,840,840,840,765,1605,0,0,2,0,2,TA,8,Detchd,Unf,379,TA,0,0,202,0,0,2445,3960,202,2,0,1,1,0,0,1,1,0,0,1,1,0,1
75,76,91000,11.41861479,180,21,1596,4,1973,0,TA,462,0,462,526,462,988,1,0,1,0,1,TA,5,BuiltIn,Unf,297,TA,120,101,0,0,0,1450,3982,101,2,0,1,1,1,0,1,1,0,0,1,1,0,0
76,77,135750,11.81857024,20,70.04995837,8475,4,1956,0,TA,228,724,952,952,0,952,0,0,1,0,1,TA,4,Detchd,Unf,283,TA,0,0,0,0,0,1904,3964,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1
77,78,127000,11.75194237,50,50,8635,5,1948,0,TA,336,295,672,1072,213,1285,1,0,1,0,1,TA,6,Detchd,Unf,240,TA,0,0,0,0,0,1957,4009,0,2,0,1,0,0,0,1,1,0,0,1,1,0,1
78,79,136500,11.82407989,90,72,10778,4,1968,0,TA,0,1768,1768,1768,0,1768,0,0,2,0,2,TA,8,None,None,0,None,0,0,0,0,0,3536,3978,0,2,0,0,0,0,0,1,1,0,0,1,1,0,1
79,80,110000,11.60823564,50,60,10440,5,1910,0,TA,0,440,440,682,548,1230,0,0,1,1,1,TA,5,Detchd,Unf,440,TA,74,0,128,0,0,1670,3990,128,1.5,0,1,1,1,0,1,1,0,0,1,2,0,1
80,81,193500,12.17303279,60,100,13000,6,1968,576,TA,448,448,896,1182,960,2142,0,0,2,1,1,Gd,8,Attchd,Fin,509,TA,0,72,0,0,252,3038,3977,324,2.5,0,1,1,0,0,1,1,0,0,1,1,0,1
81,82,153500,11.94145585,120,32,4500,6,1998,443,TA,1201,36,1237,1337,0,1337,1,0,2,0,1,TA,5,Attchd,Fin,405,TA,0,199,0,0,0,2574,4004,199,3,0,0,1,0,0,1,1,1,0,1,2,0,1
82,83,245000,12.40901349,20,78,10206,8,2007,468,TA,33,1530,1563,1563,0,1563,0,0,2,0,1,Gd,6,Attchd,RFn,758,TA,144,99,0,0,0,3126,4015,99,2,3,0,1,1,0,1,1,0,0,1,2,1,1
83,84,126500,11.74799759,20,80,8892,5,1960,66,TA,0,1065,1065,1065,0,1065,0,0,1,1,1,TA,6,Detchd,Unf,461,TA,74,0,0,0,0,2130,3967,0,1.5,0,0,0,1,0,1,1,0,1,1,1,0,1
84,85,168500,12.03469103,80,70.04995837,8530,7,1995,22,TA,0,384,384,804,670,1474,0,0,2,1,1,TA,7,BuiltIn,Fin,400,TA,120,72,0,0,0,1858,4005,72,2.5,0,1,1,1,0,1,1,0,1,1,2,0,1
85,86,260000,12.46843691,60,121,16059,8,1991,284,Gd,0,1288,1288,1301,1116,2417,0,0,2,1,1,Gd,9,Attchd,Unf,462,TA,127,82,0,0,0,3705,3998,82,2.5,0,1,1,1,0,1,1,0,0,1,1,0,2
86,87,174000,12.06681058,60,122,11911,6,2005,0,Gd,0,684,684,684,876,1560,0,0,2,1,1,Gd,6,BuiltIn,Fin,400,TA,100,38,0,0,0,2244,4014,38,2.5,0,1,1,1,0,1,1,0,1,1,2,0,1
87,88,164500,12.01066585,160,40,3951,6,2009,76,Gd,0,612,612,612,612,1224,0,0,2,1,1,Gd,4,Detchd,RFn,528,TA,0,234,0,0,0,1836,4018,234,2.5,0,1,1,0,0,1,1,0,0,1,2,1,1
88,89,85000,11.35040654,50,105,8470,3,1915,0,Fa,0,1013,1013,1013,0,1526,0,0,1,0,1,Fa,6,None,None,0,None,0,0,156,0,0,2539,3991,156,1,0,0,1,0,0,1,1,0,1,1,1,0,0
89,90,123600,11.72480582,20,60,8070,4,1994,0,TA,588,402,990,990,0,990,1,0,1,0,1,TA,5,None,None,0,None,0,0,0,0,0,1980,4002,0,2,0,0,0,0,0,1,1,0,0,1,2,0,1
90,91,109900,11.60732614,20,60,7200,4,1950,0,TA,0,0,0,1040,0,1040,0,0,1,0,1,TA,4,Detchd,Unf,420,TA,0,29,0,0,0,1040,3956,29,1,0,0,1,0,0,1,1,0,0,1,0,0,1
91,92,98600,11.49882654,20,85,8500,5,1961,203,TA,600,635,1235,1235,0,1235,0,0,1,0,1,TA,6,Attchd,Unf,480,TA,0,0,0,0,0,2470,3967,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1
92,93,163500,12.00456827,30,80,13360,5,1921,0,TA,713,163,876,964,0,964,1,0,1,0,1,TA,5,Detchd,Unf,432,TA,0,0,44,0,0,1840,4015,44,2,0,0,1,0,0,1,1,0,1,1,0,0,1
93,94,133900,11.80484853,190,60,7200,6,1910,0,TA,1046,168,1214,1260,1031,2291,0,1,2,0,2,TA,9,Detchd,Unf,506,TA,0,0,0,0,99,3505,4005,99,2.5,0,1,1,0,0,1,1,0,0,1,0,0,1
94,95,204750,12.229545,60,69,9337,6,1997,0,TA,648,176,824,905,881,1786,1,0,2,1,1,Gd,7,Attchd,RFn,684,TA,0,162,0,0,0,2610,4004,162,3.5,0,1,1,0,0,1,1,0,1,1,2,0,1
95,96,185000,12.1281111,60,70.04995837,9765,6,1993,68,Ex,310,370,680,680,790,1470,0,0,2,1,1,TA,6,BuiltIn,Fin,420,TA,232,63,0,0,0,2150,4002,63,2.5,0,1,1,1,0,1,1,0,1,1,2,0,1
96,97,214000,12.27373129,20,78,10264,7,1999,183,Gd,1162,426,1588,1588,0,1588,0,0,2,0,1,Gd,6,Attchd,RFn,472,TA,158,29,0,0,0,3176,4005,29,2,0,0,1,1,0,1,1,0,1,1,2,0,1
97,98,94750,11.45899712,20,73,10921,4,1965,48,TA,520,440,960,960,0,960,1,0,1,0,1,TA,6,Attchd,Fin,432,TA,120,0,0,0,0,1920,3972,0,2,0,0,0,1,0,1,1,0,0,1,1,0,1
98,99,83000,11.32659589,30,85,10625,5,1920,0,TA,108,350,458,835,0,835,0,0,1,0,1,TA,5,Basment,Unf,366,Fa,0,0,77,0,0,1293,3960,77,1,0,0,1,0,0,1,1,0,0,1,0,0,1
99,100,128950,11.76718001,20,77,9320,4,1959,0,TA,569,381,950,1225,0,1225,1,0,1,1,1,TA,6,None,None,0,None,352,0,0,0,0,2175,3969,0,2.5,0,0,0,1,0,1,1,0,1,1,1,0,1
100,101,205000,12.23076526,20,70.04995837,10603,6,1977,28,TA,1200,410,1610,1610,0,1610,1,0,2,0,1,Gd,6,Attchd,RFn,480,TA,168,68,0,0,0,3220,4011,68,3,0,0,1,1,0,1,1,0,1,1,2,0,1
101,102,178000,12.08953883,60,77,9206,6,1985,336,Gd,0,741,741,977,755,1732,0,0,2,1,1,Gd,7,Attchd,Fin,476,TA,192,46,0,0,0,2473,3995,46,2.5,0,1,1,1,0,1,1,0,0,1,1,0,1
102,103,118964,11.68657621,90,64,7018,5,1979,0,TA,0,0,0,1535,0,1535,0,0,2,0,2,TA,8,Attchd,Unf,410,TA,0,0,0,0,0,1535,3988,0,2,0,0,0,0,0,1,1,0,0,1,0,0,1
103,104,198900,12.20055746,20,94,10402,7,2009,0,TA,0,1226,1226,1226,0,1226,0,0,2,0,1,Gd,6,Attchd,RFn,740,TA,0,36,0,0,0,2452,4019,36,2,3,0,1,0,0,1,1,0,1,1,2,0,1
104,105,169500,12.04060821,50,70.04995837,7758,7,1931,600,TA,224,816,1040,1226,592,1818,0,0,1,1,1,TA,7,Detchd,Unf,240,TA,0,0,0,0,184,2858,3957,184,1.5,0,1,1,0,0,1,1,0,0,1,2,0,0
105,106,250000,12.4292162,60,75,9375,8,2003,768,Gd,0,1053,1053,1053,939,1992,0,0,2,1,1,Gd,9,Attchd,RFn,648,TA,140,45,0,0,0,3045,4012,45,2.5,0,1,1,1,0,1,1,1,0,1,2,0,1
106,107,100000,11.51292546,30,60,10800,4,1885,0,TA,0,641,641,1047,0,1047,0,0,1,0,1,TA,6,Detchd,Unf,273,Fa,0,0,0,0,0,1688,4002,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
107,108,115000,11.65268741,20,50,6000,5,1948,0,TA,104,516,789,789,0,789,0,0,1,0,1,TA,5,Detchd,Unf,250,TA,0,0,0,0,0,1578,3958,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1
108,109,115000,11.65268741,50,85,8500,5,1919,0,TA,0,793,793,997,520,1517,0,0,2,0,1,Fa,7,None,None,0,None,0,0,144,0,0,2310,4012,144,2,0,1,1,0,0,1,1,0,0,1,1,0,0
