,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,CentralAir,KitchenQual,Functional,FireplaceQu,GarageFinish,GarageCond,PoolQC,Fence,MiscFeature,SalePrice_log,SalePrice
15,TA,TA,No,Unf,Unf,Ex,Y,TA,Typ,None,Unf,TA,None,GdPrv,None,11.790557201568507,132000
16,TA,TA,No,ALQ,Unf,Ex,Y,TA,Typ,TA,Fin,TA,None,None,Shed,11.911701584927597,149000
17,None,None,None,None,None,TA,Y,TA,Typ,None,Unf,TA,None,None,Shed,11.407564949312402,90000
18,TA,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,None,Unf,TA,None,None,None,11.976659481202368,159000
19,TA,TA,No,LwQ,Unf,TA,Y,TA,Min1,None,Unf,TA,None,MnPrv,None,11.842229212112828,139000
20,Ex,TA,Av,Unf,Unf,Ex,Y,Gd,Typ,Gd,RFn,TA,None,None,None,12.692503112461443,325300
21,TA,TA,No,Unf,Unf,Ex,Y,Gd,Typ,Gd,Unf,TA,None,GdPrv,None,11.845102777308561,139400
22,Gd,TA,No,Unf,Unf,Ex,Y,Gd,Typ,Gd,RFn,TA,None,None,None,12.345834587905333,230000
23,Gd,TA,No,GLQ,Unf,TA,Y,TA,Typ,TA,Unf,TA,None,None,None,11.77452020265869,129900
24,TA,TA,Mn,Rec,ALQ,Ex,Y,Gd,Typ,TA,Unf,TA,None,MnPrv,None,11.944707881395766,154000
25,Gd,TA,No,Unf,Unf,Ex,Y,Gd,Typ,Gd,RFn,TA,None,None,None,12.454103912352162,256300
26,TA,TA,Mn,BLQ,Rec,TA,Y,Gd,Typ,None,Unf,TA,None,None,None,11.811547477460344,134800
27,Ex,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,Gd,RFn,TA,None,None,None,12.631340380934517,306000
28,TA,TA,Gd,BLQ,Unf,TA,Y,TA,Typ,Gd,RFn,TA,None,None,None,12.24288661865289,207500
29,TA,TA,No,Unf,Unf,Fa,N,Fa,Typ,None,Unf,TA,None,None,None,11.134589024250317,68500
30,TA,TA,No,Unf,Unf,TA,N,TA,Typ,None,Unf,Fa,None,MnPrv,None,10.596634733096073,40000
31,TA,TA,No,Unf,Unf,Gd,Y,Gd,Typ,None,Unf,TA,None,MnPrv,None,11.914047823644255,149350
32,Ex,TA,Av,Unf,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,12.100156419938624,179900
33,TA,TA,No,Rec,Unf,Gd,Y,Gd,Typ,Gd,RFn,TA,None,None,None,12.016726473799254,165500
34,Ex,TA,No,GLQ,Unf,Ex,Y,Ex,Typ,Gd,Fin,TA,None,None,None,12.533576212168626,277500
35,Ex,TA,Av,Unf,Unf,Ex,Y,Gd,Typ,Gd,Fin,TA,None,None,None,12.641096555879882,309000
36,Gd,TA,No,Unf,Unf,Ex,Y,TA,Typ,None,Unf,TA,None,None,None,11.884489021402711,145000
37,TA,TA,No,Rec,Unf,Gd,Y,TA,Typ,TA,Fin,TA,None,None,None,11.938193200374572,153000
38,TA,TA,No,GLQ,Unf,TA,Y,Gd,Typ,None,Unf,TA,None,None,None,11.59910316121128,109000
39,None,None,None,None,None,TA,N,Fa,Typ,None,None,None,None,None,None,11.314474526246391,82000
40,TA,TA,No,Rec,Unf,Ex,Y,TA,Typ,TA,RFn,TA,None,GdWo,None,11.982929094215963,160000
41,TA,TA,Gd,BLQ,Unf,Gd,Y,TA,Typ,Gd,RFn,TA,None,None,None,12.043553716032399,170000
42,Gd,TA,Av,ALQ,LwQ,Gd,Y,Gd,Typ,None,RFn,Gd,None,MnPrv,None,11.877568578558138,144000
43,Gd,TA,Av,LwQ,BLQ,TA,Y,TA,Typ,None,Unf,TA,None,MnPrv,None,11.777210959615614,130250
44,TA,TA,No,ALQ,BLQ,Ex,Y,TA,Typ,None,RFn,TA,None,None,None,11.856515169360305,141000
45,Ex,TA,No,GLQ,Unf,Ex,Y,Ex,Typ,Gd,RFn,TA,None,None,None,12.675763725937609,319900
46,Ex,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,Ex,RFn,TA,None,None,None,12.387085012375499,239686
47,Gd,TA,Av,GLQ,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,12.428015476267865,249700
48,TA,TA,No,Unf,Unf,Gd,Y,TA,Typ,None,None,None,None,None,None,11.635143097694478,113000
49,TA,TA,No,BLQ,Unf,Ex,Y,TA,Typ,None,Unf,TA,None,MnPrv,None,11.751942365440728,127000
50,Gd,TA,Av,GLQ,Unf,Gd,Y,TA,Typ,None,Fin,TA,None,None,None,12.083905011555967,177000
51,TA,TA,No,Unf,Unf,TA,Y,TA,Typ,Gd,Unf,TA,None,MnPrv,Shed,11.648330101976432,114500
52,Gd,TA,Gd,LwQ,GLQ,TA,N,TA,Typ,None,Unf,TA,None,None,None,11.608235644774552,110000
53,Ex,TA,Gd,GLQ,Unf,Gd,Y,Gd,Typ,Gd,Fin,TA,None,None,None,12.86099861326992,385000
54,TA,TA,No,ALQ,Unf,TA,Y,TA,Min1,TA,Unf,TA,None,MnPrv,None,11.77528972943772,130000
55,TA,TA,No,BLQ,Unf,Gd,Y,TA,Typ,Gd,RFn,TA,None,None,None,12.103486056755072,180500
56,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,None,Fin,TA,None,None,None,12.058152515453552,172500
57,Gd,TA,No,Unf,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,12.188417710291453,196500
58,Ex,TA,Gd,Unf,Unf,Ex,Y,Gd,Typ,Gd,Fin,TA,None,None,None,12.991753427493052,438780
59,TA,TA,Av,ALQ,Unf,Ex,Y,TA,Typ,None,Unf,TA,None,MnPrv,None,11.73526869611367,124900
60,Gd,TA,No,ALQ,Unf,Ex,Y,Gd,Typ,None,Unf,TA,None,None,None,11.970350312009105,158000
61,TA,Fa,No,Unf,Unf,TA,N,Fa,Typ,None,Unf,TA,None,None,None,11.522875795823397,101000
62,Gd,Gd,Mn,GLQ,Unf,Ex,Y,Gd,Typ,Gd,RFn,TA,None,None,None,12.218495165528731,202500
63,TA,TA,No,Unf,Unf,Gd,Y,TA,Typ,None,Unf,TA,None,GdPrv,None,11.84939770159144,140000
64,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,GdPrv,None,12.299107511497363,219500
65,Ex,TA,Av,Unf,Unf,Ex,Y,Gd,Typ,Gd,RFn,TA,None,None,None,12.666657052859417,317000
66,Gd,TA,Gd,GLQ,Unf,TA,Y,TA,Min1,Gd,RFn,TA,None,None,None,12.100712129872347,180000
67,Gd,TA,Av,GLQ,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,12.328290278254423,226000
68,TA,TA,No,Unf,Unf,TA,Y,TA,Typ,None,Unf,TA,None,None,None,11.289781913656018,80000
69,TA,TA,No,BLQ,Unf,TA,Y,TA,Typ,TA,Fin,TA,None,None,None,12.323855681186558,225000
70,Gd,TA,Gd,ALQ,Unf,Ex,Y,TA,Typ,Gd,Fin,TA,None,None,None,12.404923504275338,244000
71,TA,TA,No,ALQ,Unf,TA,Y,TA,Typ,None,Unf,TA,None,None,None,11.771436160121729,129500
72,Gd,TA,No,Unf,Unf,Gd,Y,TA,Typ,TA,Fin,TA,None,None,None,12.128111104060462,185000
73,TA,TA,No,ALQ,BLQ,Gd,Y,TA,Typ,None,Unf,TA,None,GdWo,None,11.883799128308773,144900
74,Fa,TA,No,Unf,Unf,Gd,N,TA,Typ,None,Unf,TA,None,None,None,11.584315461056901,107400
75,Gd,TA,Gd,GLQ,Unf,TA,Y,TA,Typ,None,Unf,TA,None,GdWo,None,11.418614785498987,91000
76,TA,TA,No,ALQ,Unf,Ex,Y,TA,Typ,None,Unf,TA,None,None,None,11.818570237796182,135750
77,TA,TA,No,BLQ,GLQ,TA,Y,TA,Min1,None,Unf,TA,None,MnPrv,None,11.751942365440728,127000
78,TA,TA,No,Unf,Unf,TA,N,TA,Typ,None,None,None,None,None,None,11.824079893607152,136500
79,TA,TA,No,Unf,Unf,Gd,Y,TA,Typ,None,Unf,TA,None,MnPrv,None,11.608235644774552,110000
80,Gd,TA,No,Rec,Unf,TA,Y,Gd,Typ,Gd,Fin,TA,None,None,None,12.173032791451973,193500
81,Ex,Gd,No,GLQ,Unf,Ex,Y,TA,Typ,None,Fin,TA,None,None,None,11.941455846009388,153500
82,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,Gd,RFn,TA,None,None,None,12.409013489526863,245000
83,TA,TA,No,Unf,Unf,Gd,Y,TA,Typ,None,Unf,TA,None,None,None,11.747997587149712,126500
84,Gd,TA,No,Unf,Unf,Gd,Y,TA,Typ,TA,Fin,TA,None,None,Shed,12.034691028774553,168500
85,Gd,TA,No,Unf,Unf,Ex,Y,Gd,Typ,TA,Unf,TA,None,None,None,12.468436909997665,260000
86,Gd,TA,Av,Unf,Unf,Ex,Y,Gd,Typ,Gd,Fin,TA,None,None,None,12.066810578196666,174000
87,Gd,TA,Av,Unf,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,12.010665849187564,164500
88,TA,Fa,No,Unf,Unf,TA,N,Fa,Typ,None,None,None,None,MnPrv,None,11.350406535472453,85000
89,Gd,TA,No,GLQ,Unf,Ex,Y,TA,Typ,None,None,None,None,None,None,11.724805824005728,123600
90,None,None,None,None,None,TA,Y,TA,Typ,None,Unf,TA,None,None,None,11.607326140391713,109900
91,TA,TA,No,Rec,Unf,TA,Y,TA,Typ,None,Unf,TA,None,GdWo,None,11.498826540590727,98600
92,Gd,TA,No,ALQ,Unf,Ex,Y,TA,Typ,None,Unf,TA,None,None,None,12.004568269319446,163500
93,TA,Fa,Mn,Rec,Unf,Ex,N,TA,Typ,Gd,Unf,TA,None,None,None,11.804848531679264,133900
94,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,12.229545001715316,204750
95,Gd,Gd,No,ALQ,Unf,Gd,Y,TA,Typ,TA,Fin,TA,None,None,Shed,12.128111104060462,185000
96,Gd,TA,Av,ALQ,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,12.273731294003989,214000
97,TA,TA,No,Rec,Unf,TA,Y,TA,Typ,None,Fin,TA,None,None,None,11.458997122944673,94750
98,TA,TA,No,ALQ,Unf,Fa,N,TA,Typ,None,Unf,TA,None,None,Shed,11.326595886778735,83000
99,TA,TA,No,ALQ,Unf,Fa,Y,TA,Typ,None,None,None,None,None,Shed,11.76718001130949,128950
100,TA,TA,Mn,ALQ,Unf,Gd,Y,Gd,Typ,TA,RFn,TA,None,None,None,12.230765258120545,205000
101,Gd,TA,No,Unf,Unf,TA,Y,Gd,Typ,TA,Fin,TA,None,None,None,12.089538829274222,178000
102,None,None,None,None,None,TA,Y,TA,Typ,None,Unf,TA,None,None,None,11.686576205316552,118964
103,Gd,TA,No,Unf,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,12.200557464842063,198900
104,TA,TA,No,LwQ,Unf,Ex,Y,TA,Typ,TA,Unf,TA,None,None,None,12.040608205802641,169500
105,Ex,TA,No,Unf,Unf,Ex,Y,Gd,Typ,Gd,RFn,TA,None,None,None,12.429216196844383,250000
106,Fa,TA,No,Unf,Unf,Gd,Y,TA,Typ,None,Unf,Fa,None,None,Shed,11.512925464970229,100000
107,TA,TA,No,ALQ,BLQ,Ex,Y,TA,Typ,None,Unf,TA,None,None,None,11.652687407345388,115000
108,TA,TA,No,Unf,Unf,TA,N,Fa,Typ,None,None,None,None,None,None,11.652687407345388,115000
109,Gd,TA,No,BLQ,Unf,Ex,Y,TA,Typ,TA,RFn,TA,None,MnPrv,None,12.154779351142624,190000
110,TA,Fa,No,Rec,Unf,Gd,Y,TA,Typ,None,Unf,TA,None,None,None,11.82700601127654,136900
111,Gd,TA,No,GLQ,Unf,Ex,Y,TA,Typ,TA,Fin,TA,None,None,None,12.100712129872347,180000
112,Ex,TA,Av,GLQ,Unf,Ex,Y,Ex,Typ,Gd,Fin,TA,None,None,None,12.858319703517948,383970
113,Gd,TA,Mn,ALQ,Rec,TA,Y,Gd,Typ,Gd,Unf,TA,None,MnPrv,None,12.287652632522597,217000
114,TA,TA,No,ALQ,LwQ,Ex,Y,Gd,Typ,TA,Unf,TA,None,MnPrv,None,12.46651198158808,259500
115,Gd,TA,No,GLQ,Unf,Gd,Y,TA,Typ,Fa,Unf,TA,None,None,None,12.078239274020289,176000
116,TA,TA,No,LwQ,BLQ,TA,Y,TA,Typ,Po,Unf,TA,None,None,None,11.842229212112828,139000
117,Gd,TA,No,Unf,Unf,Gd,Y,TA,Typ,None,Unf,TA,None,None,None,11.951180395901384,155000
118,Gd,TA,Mn,GLQ,Unf,Gd,Y,Gd,Typ,TA,Unf,TA,None,None,None,12.676076274775909,320000
119,Gd,TA,No,Unf,Unf,Ex,Y,Gd,Typ,Gd,Fin,TA,None,None,None,12.007560729337492,163990
120,TA,TA,Gd,ALQ,Unf,Ex,Y,TA,Typ,TA,Unf,TA,None,None,None,12.100712129872347,180000
121,TA,TA,No,Unf,Unf,Gd,Y,TA,Typ,None,Unf,TA,None,MnPrv,None,11.512925464970229,100000
122,TA,TA,No,BLQ,Unf,Gd,Y,TA,Typ,None,Unf,TA,None,None,None,11.820410164718188,136000
123,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,11.94405831982697,153900
124,Gd,Fa,No,Unf,Unf,TA,Y,TA,Typ,TA,Unf,TA,None,None,None,12.106252310247962,181000
125,TA,TA,Av,GLQ,Unf,Gd,N,TA,Typ,None,None,None,None,None,None,11.344506813345266,84500
126,Gd,TA,No,ALQ,Unf,TA,Y,TA,Typ,TA,RFn,TA,None,None,None,11.759785542901755,128000
127,TA,TA,No,LwQ,Unf,Ex,Y,TA,Typ,TA,None,None,None,None,None,11.37366339763672,87000
128,TA,TA,No,BLQ,Unf,TA,Y,TA,Typ,Fa,RFn,TA,None,None,None,11.951180395901384,155000
129,TA,TA,No,Rec,BLQ,TA,Y,Ex,Typ,None,RFn,TA,None,MnWw,None,11.918390573078392,150000
130,TA,TA,No,Rec,Unf,Ex,Y,Gd,Typ,Gd,Fin,TA,None,GdPrv,None,12.328290278254423,226000
131,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,TA,RFn,TA,None,None,None,12.404923504275338,244000
132,TA,TA,No,Rec,Unf,Gd,Y,Gd,Typ,None,Unf,TA,None,None,None,11.923378114589433,150750
133,Ex,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,None,Fin,TA,None,None,None,12.301382825334498,220000
134,TA,TA,No,Rec,Unf,Gd,Y,TA,Min1,TA,RFn,TA,None,MnPrv,None,12.100712129872347,180000
135,TA,TA,No,Unf,Unf,Gd,Y,TA,Typ,Gd,Unf,TA,None,MnPrv,None,12.066810578196666,174000
136,TA,TA,No,BLQ,Unf,TA,Y,TA,Typ,Fa,RFn,TA,None,None,None,11.870599909242044,143000
137,TA,TA,No,Unf,Unf,Gd,Y,TA,Typ,None,Unf,TA,None,None,None,12.049418835484797,171000
138,Gd,TA,Mn,GLQ,Unf,Ex,Y,Gd,Typ,TA,Fin,TA,None,GdPrv,None,12.345834587905333,230000
139,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,MnPrv,None,12.352335152508426,231500
140,TA,TA,No,ALQ,Unf,TA,Y,TA,Typ,Po,None,None,None,None,None,11.652687407345388,115000
141,Gd,TA,Av,GLQ,Unf,Ex,Y,Gd,Typ,None,Fin,TA,None,None,None,12.468436909997665,260000
142,TA,TA,No,Rec,Unf,Fa,Y,TA,Typ,None,Unf,TA,None,MnPrv,None,12.01974306733868,166000
143,Gd,TA,Gd,GLQ,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,12.225875272826354,204000
144,TA,TA,No,Rec,Unf,TA,Y,TA,Typ,None,Unf,TA,None,None,None,11.736069016284437,125000
145,Gd,TA,No,Unf,Unf,Ex,Y,Gd,Maj1,None,Unf,TA,None,None,None,11.77528972943772,130000
146,TA,TA,No,BLQ,Unf,TA,Y,TA,Typ,None,Unf,TA,None,None,None,11.56171562913966,105000
147,Gd,TA,No,Unf,Unf,Ex,Y,Gd,Typ,Gd,Fin,TA,None,None,None,12.312682380588432,222500
148,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,None,None,None,None,None,None,11.856515169360305,141000
149,Gd,TA,No,Unf,Unf,Gd,Y,TA,Typ,None,Unf,TA,None,None,None,11.652687407345388,115000
150,TA,TA,Av,BLQ,Unf,TA,Y,TA,Typ,None,Unf,TA,None,MnPrv,None,11.711776323715394,122000
151,Ex,TA,Gd,GLQ,Unf,Ex,Y,Gd,Typ,Gd,RFn,TA,None,None,None,12.827729194939907,372402
152,TA,TA,No,Rec,Unf,Gd,Y,TA,Typ,Gd,RFn,TA,None,GdWo,None,12.154779351142624,190000
153,Gd,TA,Gd,BLQ,ALQ,Gd,Y,TA,Typ,Gd,RFn,TA,None,None,None,12.367340793126296,235000
154,TA,TA,No,Unf,Unf,TA,Y,TA,Typ,None,Unf,Fa,None,None,None,11.736069016284437,125000
155,TA,TA,No,Unf,Unf,Fa,N,TA,Typ,None,None,None,None,None,None,11.27720313144916,79000
156,None,None,None,None,None,TA,Y,TA,Typ,None,Unf,TA,None,None,None,11.603679828238693,109500
157,Ex,TA,No,Unf,Unf,Ex,Y,Ex,Typ,Gd,Fin,TA,None,None,None,12.504323669331189,269500
158,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,Gd,RFn,TA,None,GdWo,None,12.448626590364206,254900
159,Gd,TA,Mn,GLQ,Unf,Ex,Y,Gd,Typ,Gd,RFn,TA,None,None,None,12.676076274775909,320000
160,Gd,TA,No,BLQ,Unf,TA,Y,TA,Typ,None,Unf,TA,None,None,None,11.998433280751929,162500
161,Ex,TA,Av,GLQ,Unf,Ex,Y,Ex,Typ,Gd,Fin,TA,None,None,None,12.929991484756872,412500
162,Gd,TA,Mn,BLQ,Unf,Ex,Y,Gd,Typ,Gd,RFn,TA,None,None,None,12.301382825334498,220000
163,TA,TA,No,Unf,Unf,Ex,Y,TA,Typ,None,None,None,None,MnPrv,None,11.544424132029599,103200
164,TA,TA,Mn,LwQ,Unf,Gd,Y,Gd,Typ,None,Unf,TA,None,None,None,11.931635799828413,152000
165,TA,TA,No,ALQ,Rec,Gd,Y,TA,Typ,None,None,None,None,None,None,11.755871643580617,127500
166,TA,TA,No,LwQ,BLQ,Ex,Y,TA,Typ,Gd,Fin,TA,None,GdWo,None,12.154779351142624,190000
167,Ex,TA,No,GLQ,Unf,Ex,Y,Ex,Typ,Gd,Fin,TA,None,None,None,12.693498620467778,325624
168,Gd,TA,No,Unf,Unf,Ex,Y,Gd,Typ,Gd,Fin,TA,None,None,None,12.119969946476761,183500
169,Gd,TA,No,Unf,Unf,TA,Y,TA,Typ,TA,RFn,TA,None,None,None,12.337100907936577,228000
170,TA,TA,No,Rec,Unf,TA,Y,TA,Typ,None,Unf,TA,None,None,None,11.763684183317412,128500
171,TA,Gd,Gd,BLQ,Unf,Fa,Y,TA,Typ,Gd,Fin,TA,None,None,None,12.2783933071098,215000
172,Gd,Gd,No,GLQ,Rec,Gd,Y,Gd,Typ,TA,RFn,TA,None,None,None,12.384218830913648,239000
173,TA,TA,No,ALQ,Rec,TA,Y,TA,Typ,TA,Unf,TA,None,None,None,12.0015054797889,163000
174,Gd,Fa,No,ALQ,LwQ,TA,Y,TA,Min2,TA,Fin,TA,None,None,None,12.122691036591123,184000
175,TA,Gd,Av,ALQ,Unf,TA,Y,Gd,Typ,Gd,Unf,TA,None,MnPrv,None,12.400816722322686,243000
176,Gd,TA,No,GLQ,Unf,TA,Y,TA,Typ,TA,Unf,TA,None,None,None,12.259613412458204,211000
177,TA,TA,No,ALQ,BLQ,Ex,Y,Gd,Typ,Gd,Unf,TA,None,None,None,12.058152515453552,172500
178,Ex,TA,No,GLQ,Unf,Ex,Y,Ex,Typ,Gd,Fin,TA,None,None,None,13.1260306447518,501837
179,TA,TA,No,Unf,Unf,TA,Y,TA,Typ,None,Unf,TA,None,None,None,11.512925464970229,100000
180,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,TA,Unf,TA,None,None,None,12.083905011555967,177000
181,Fa,TA,No,LwQ,Unf,Gd,Y,TA,Typ,Gd,Unf,TA,None,None,None,12.206572520571825,200100
182,None,None,None,None,None,Ex,Y,TA,Typ,Gd,RFn,TA,None,MnPrv,None,11.695247021764184,120000
183,Gd,TA,No,Unf,Unf,Ex,Y,Gd,Mod,None,Unf,TA,None,None,None,12.206072645530174,200000
184,Fa,TA,No,Unf,Unf,Gd,Y,TA,Typ,None,Unf,TA,None,MnPrv,None,11.751942365440728,127000
185,TA,TA,Mn,Unf,Unf,Ex,Y,Ex,Typ,TA,Unf,TA,None,GdPrv,None,13.071070083016778,475000
186,Gd,TA,Av,GLQ,Unf,Ex,Y,Gd,Typ,None,Unf,TA,None,GdPrv,None,12.061046873479915,173000
187,Fa,TA,No,Unf,Unf,Ex,Y,TA,Min2,None,Unf,Fa,None,MnPrv,None,11.813030057420567,135000
188,Gd,TA,Av,GLQ,Unf,TA,Y,TA,Typ,TA,Unf,TA,None,None,None,11.940393392554734,153337
189,Ex,TA,Av,GLQ,Unf,Ex,Y,Ex,Typ,Gd,Fin,TA,None,None,None,12.56374708980199,286000
190,Gd,Gd,No,Rec,Unf,TA,Y,Gd,Maj1,TA,Unf,TA,None,None,None,12.66032791780777,315000
191,TA,TA,No,ALQ,Unf,Gd,Y,Gd,Typ,None,Fin,TA,None,None,None,12.122691036591123,184000
192,Gd,TA,Av,GLQ,Unf,Ex,Y,Gd,Typ,None,Fin,TA,None,None,None,12.165250651009918,192000
193,Gd,TA,No,Unf,Unf,Ex,Y,Gd,Maj1,None,Unf,TA,None,None,None,11.77528972943772,130000
194,TA,TA,Av,ALQ,Unf,TA,Y,TA,Typ,None,Unf,TA,None,None,None,11.751942365440728,127000
195,Gd,TA,No,ALQ,Unf,TA,Y,TA,Typ,TA,Unf,TA,None,None,None,11.908340237224891,148500
196,Ex,TA,No,GLQ,Unf,Ex,Y,Ex,Typ,Gd,Fin,TA,None,None,None,12.650348126203179,311872
197,TA,TA,No,GLQ,LwQ,Gd,Y,Gd,Typ,Ex,Unf,TA,Ex,GdPrv,None,12.367340793126296,235000
198,TA,TA,No,Unf,Unf,Ex,Y,TA,Typ,None,None,None,None,MnPrv,None,11.55214617812351,104000
199,Ex,TA,Av,GLQ,Unf,Ex,Y,Ex,Typ,Gd,Fin,TA,None,None,None,12.524162674153336,274900
200,Gd,TA,No,Unf,Unf,Ex,Y,TA,Typ,None,RFn,TA,None,None,None,11.84939770159144,140000
201,TA,TA,No,ALQ,LwQ,TA,Y,TA,Typ,Fa,Unf,TA,None,MnPrv,None,12.052338545588132,171500
202,Fa,TA,No,LwQ,Unf,Gd,Y,TA,Min1,None,Unf,TA,None,None,None,11.626254150277232,112000
203,Gd,TA,Av,GLQ,Unf,Ex,Y,Gd,Typ,Gd,RFn,TA,None,None,None,11.911701584927597,149000
204,TA,TA,No,LwQ,Unf,TA,Y,TA,Typ,None,Unf,TA,None,MnWw,None,11.608235644774552,110000
205,Gd,TA,No,Unf,Unf,Ex,Y,TA,Typ,None,RFn,TA,None,None,None,12.103486056755072,180500
206,TA,TA,No,Unf,Unf,TA,Y,TA,Min2,TA,RFn,TA,None,None,None,11.876873892875459,143900
207,TA,TA,No,ALQ,Rec,TA,Y,TA,Typ,Po,RFn,TA,None,GdWo,None,11.856515169360305,141000
208,Gd,TA,Gd,GLQ,Unf,Ex,Y,TA,Typ,Gd,Fin,TA,None,None,None,12.531772785169476,277000
209,Gd,TA,No,Rec,Unf,Ex,Y,TA,Typ,None,RFn,Gd,None,MnPrv,None,11.884489021402711,145000
210,TA,TA,No,Rec,Unf,TA,N,TA,Typ,None,None,None,None,None,None,11.49272275765271,98000
211,Gd,TA,Mn,GLQ,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,12.133501952695338,186000
212,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,TA,RFn,TA,None,None,None,12.439871229831715,252678
213,Gd,TA,No,ALQ,Unf,Ex,Y,TA,Typ,None,Unf,TA,None,None,None,11.957611286231675,156000
214,Gd,TA,No,GLQ,Unf,Ex,Y,TA,Typ,None,Fin,TA,None,MnPrv,Shed,11.993807212363148,161750
215,TA,TA,No,BLQ,Unf,TA,Y,Gd,Min1,Fa,Unf,TA,None,MnPrv,None,11.80894766169701,134450
216,Gd,TA,Mn,GLQ,Unf,Ex,Y,Gd,Typ,None,Unf,TA,None,None,None,12.254862809699606,210000
217,TA,TA,No,Unf,Unf,Fa,N,TA,Typ,None,Unf,TA,None,None,None,11.580584113444043,107000
218,TA,TA,No,BLQ,Unf,Ex,Y,Gd,Typ,TA,Unf,TA,None,None,None,12.649154617209645,311500
219,Gd,TA,Av,GLQ,Unf,Ex,Y,Gd,Typ,None,Fin,TA,None,None,None,12.0271851854705,167240
220,Gd,TA,Mn,Unf,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,12.230277334226992,204900
221,Gd,TA,No,Unf,Unf,Ex,Y,Gd,Typ,TA,RFn,TA,None,None,None,12.206072645530174,200000
222,Gd,TA,No,ALQ,Unf,TA,Y,TA,Typ,TA,RFn,TA,None,MnPrv,None,12.100156419938624,179900
223,TA,TA,No,ALQ,LwQ,Gd,Y,TA,Typ,None,Unf,TA,None,None,None,11.48246625748552,97000
